userName,score,at,content,content_casefold,cleaned,normalized,tokens,no_stopword,stemmed,unique,clean_final,preprocessed,Unigram,Bigram,Trigram
Gathan Gathan,5,2025-10-29 03:44:05,bagurs bau,bagurs bau,bagurs bau,bagurs bau,"['bagurs', 'bau']","['bagurs', 'bau']","['bagurs', 'bau']","['bagurs', 'bau']","['bagurs', 'bau']",bagurs bau,"[('bagurs',), ('bau',)]","[('bagurs', 'bau')]",[]
Engki Doang,5,2025-10-29 03:41:56,suka bet,suka bet,suka bet,suka bet,"['suka', 'bet']",['bet'],['bet'],['bet'],['bet'],bet,"[('bet',)]",[],[]
Zulfahminaufal ilmi,5,2025-10-29 03:41:32,"mohon bantuan kembalikan akun guestku dengan nick ""megafer30372d""","mohon bantuan kembalikan akun guestku dengan nick ""megafer30372d""",mohon bantuan kembalikan akun guestku dengan nick megaferd,mohon bantuan kembalikan akun guestku dengan nick megaferd,"['mohon', 'bantuan', 'kembalikan', 'akun', 'guestku', 'dengan', 'nick', 'megaferd']","['bantuan', 'kembalikan', 'guestku', 'nick', 'megaferd']","['bantu', 'kembali', 'guestku', 'nick', 'megaferd']","['bantu', 'kembali', 'guestku', 'nick', 'megaferd']","['bantu', 'kembali', 'guestku', 'nick', 'megaferd']",bantu kembali guestku nick megaferd,"[('bantu',), ('kembali',), ('guestku',), ('nick',), ('megaferd',)]","[('bantu', 'kembali'), ('kembali', 'guestku'), ('guestku', 'nick'), ('nick', 'megaferd')]","[('bantu', 'kembali', 'guestku'), ('kembali', 'guestku', 'nick'), ('guestku', 'nick', 'megaferd')]"
Utin 18,2,2025-10-29 03:41:28,"garena tolong di csr para cheater di ban donk masa nemu teleport dimana-mana dan nemu melayang dimana""","garena tolong di csr para cheater di ban donk masa nemu teleport dimana-mana dan nemu melayang dimana""",garena tolong di csr para cheater di ban donk masa nemu teleport dimanamana dan nemu melayang dimana,garena tolong di csr para cheater di ban donk masa nemu teleport dimanamana dan nemu melayang dimana,"['garena', 'tolong', 'di', 'csr', 'para', 'cheater', 'di', 'ban', 'donk', 'masa', 'nemu', 'teleport', 'dimanamana', 'dan', 'nemu', 'melayang', 'dimana']","['garena', 'csr', 'cheater', 'ban', 'donk', 'masa', 'nemu', 'teleport', 'dimanamana', 'nemu', 'melayang']","['garena', 'csr', 'cheater', 'ban', 'donk', 'masa', 'nemu', 'teleport', 'dimanamana', 'nemu', 'layang']","['garena', 'csr', 'cheater', 'ban', 'donk', 'masa', 'nemu', 'teleport', 'dimanamana', 'layang']","['garena', 'csr', 'cheater', 'ban', 'donk', 'masa', 'nemu', 'teleport', 'dimanamana', 'layang']",garena csr cheater ban donk masa nemu teleport dimanamana layang,"[('garena',), ('csr',), ('cheater',), ('ban',), ('donk',), ('masa',), ('nemu',), ('teleport',), ('dimanamana',), ('layang',)]","[('garena', 'csr'), ('csr', 'cheater'), ('cheater', 'ban'), ('ban', 'donk'), ('donk', 'masa'), ('masa', 'nemu'), ('nemu', 'teleport'), ('teleport', 'dimanamana'), ('dimanamana', 'layang')]","[('garena', 'csr', 'cheater'), ('csr', 'cheater', 'ban'), ('cheater', 'ban', 'donk'), ('ban', 'donk', 'masa'), ('donk', 'masa', 'nemu'), ('masa', 'nemu', 'teleport'), ('nemu', 'teleport', 'dimanamana'), ('teleport', 'dimanamana', 'layang')]"
Dinaa Sania,4,2025-10-29 03:41:27,Aku suka tapi kalo mau naik rank musuh nya jadi pada jago² jadi ku kasih bintang 4,aku suka tapi kalo mau naik rank musuh nya jadi pada jago² jadi ku kasih bintang 4,aku suka tapi kalo mau naik rank musuh nya jadi pada jago jadi ku kasih bintang,aku suka tapi kalo mau naik rank musuh nya jadi pada jago jadi ku kasih bintang,"['aku', 'suka', 'tapi', 'kalo', 'mau', 'naik', 'rank', 'musuh', 'nya', 'jadi', 'pada', 'jago', 'jadi', 'ku', 'kasih', 'bintang']","['musuh', 'jago']","['musuh', 'jago']","['musuh', 'jago']","['musuh', 'jago']",musuh jago,"[('musuh',), ('jago',)]","[('musuh', 'jago')]",[]
Macha Lita,5,2025-10-29 03:41:08,sangat bagus,sangat bagus,sangat bagus,sangat bagus,"['sangat', 'bagus']",['sangat'],['sangat'],['sangat'],['sangat'],sangat,"[('sangat',)]",[],[]
miftah sudrajat,5,2025-10-29 03:40:49,game ini sangat menjiwai saya,game ini sangat menjiwai saya,game ini sangat menjiwai saya,permainan ini sangat menjiwai saya,"['permainan', 'ini', 'sangat', 'menjiwai', 'saya']","['permainan', 'sangat', 'menjiwai']","['main', 'sangat', 'jiwa']","['main', 'sangat', 'jiwa']","['main', 'sangat', 'jiwa']",main sangat jiwa,"[('main',), ('sangat',), ('jiwa',)]","[('main', 'sangat'), ('sangat', 'jiwa')]","[('main', 'sangat', 'jiwa')]"
Luahambowo Rifan,1,2025-10-29 03:40:37,banyak chit gameplay delay banyak bug udah di kasih glowel masih aja mati ini tolong lah developer di perbaiki secepatnya kalau udah di perbaiki aku kasih bintang 🌟 5,banyak chit gameplay delay banyak bug udah di kasih glowel masih aja mati ini tolong lah developer di perbaiki secepatnya kalau udah di perbaiki aku kasih bintang 🌟 5,banyak chit gameplay delay banyak bug udah di kasih glowel masih aja mati ini tolong lah developer di perbaiki secepatnya kalau udah di perbaiki aku kasih bintang,banyak chit gameplay delay banyak bug udah di kasih glowel masih aja mati ini tolong lah developer di perbaiki secepatnya kalau udah di perbaiki aku kasih bintang,"['banyak', 'chit', 'gameplay', 'delay', 'banyak', 'bug', 'udah', 'di', 'kasih', 'glowel', 'masih', 'aja', 'mati', 'ini', 'tolong', 'lah', 'developer', 'di', 'perbaiki', 'secepatnya', 'kalau', 'udah', 'di', 'perbaiki', 'aku', 'kasih', 'bintang']","['banyak', 'chit', 'gameplay', 'delay', 'banyak', 'glowel', 'mati', 'perbaiki', 'secepatnya', 'perbaiki']","['banyak', 'chit', 'gameplay', 'delay', 'banyak', 'glowel', 'mati', 'baik', 'cepat', 'baik']","['banyak', 'chit', 'gameplay', 'delay', 'glowel', 'mati', 'baik', 'cepat']","['banyak', 'chit', 'gameplay', 'delay', 'glowel', 'mati', 'baik', 'cepat']",banyak chit gameplay delay glowel mati baik cepat,"[('banyak',), ('chit',), ('gameplay',), ('delay',), ('glowel',), ('mati',), ('baik',), ('cepat',)]","[('banyak', 'chit'), ('chit', 'gameplay'), ('gameplay', 'delay'), ('delay', 'glowel'), ('glowel', 'mati'), ('mati', 'baik'), ('baik', 'cepat')]","[('banyak', 'chit', 'gameplay'), ('chit', 'gameplay', 'delay'), ('gameplay', 'delay', 'glowel'), ('delay', 'glowel', 'mati'), ('glowel', 'mati', 'baik'), ('mati', 'baik', 'cepat')]"
Muhammad Kanzulhaya,5,2025-10-29 03:40:23,menghibur,menghibur,menghibur,menghibur,['menghibur'],['menghibur'],['hibur'],['hibur'],['hibur'],hibur,"[('hibur',)]",[],[]
Pillow,5,2025-10-29 03:40:16,gema ya bagus,gema ya bagus,gema ya bagus,gema ya bagus,"['gema', 'ya', 'bagus']",['gema'],['gema'],['gema'],['gema'],gema,"[('gema',)]",[],[]
Azzam Mumtaz,5,2025-10-29 03:39:35,gem nya sangat bagus,gem nya sangat bagus,gem nya sangat bagus,permainan nya sangat bagus,"['permainan', 'nya', 'sangat', 'bagus']","['permainan', 'sangat']","['main', 'sangat']","['main', 'sangat']","['main', 'sangat']",main sangat,"[('main',), ('sangat',)]","[('main', 'sangat')]",[]
Jannata Muhammad,5,2025-10-29 03:38:45,bapak garena tolong beri diamo,bapak garena tolong beri diamo,bapak garena tolong beri diamo,bapak garena tolong beri diamo,"['bapak', 'garena', 'tolong', 'beri', 'diamo']","['bapak', 'garena', 'beri', 'diamo']","['bapak', 'garena', 'beri', 'diamo']","['bapak', 'garena', 'beri', 'diamo']","['bapak', 'garena', 'beri', 'diamo']",bapak garena beri diamo,"[('bapak',), ('garena',), ('beri',), ('diamo',)]","[('bapak', 'garena'), ('garena', 'beri'), ('beri', 'diamo')]","[('bapak', 'garena', 'beri'), ('garena', 'beri', 'diamo')]"
Oppo A18,5,2025-10-29 03:38:42,sangat menyenangkan bagi saya ini game terbaik sepanjang masa hidup aku,sangat menyenangkan bagi saya ini game terbaik sepanjang masa hidup aku,sangat menyenangkan bagi saya ini game terbaik sepanjang masa hidup aku,sangat menyenangkan bagi saya ini permainan terbaik sepanjang masa hidup aku,"['sangat', 'menyenangkan', 'bagi', 'saya', 'ini', 'permainan', 'terbaik', 'sepanjang', 'masa', 'hidup', 'aku']","['sangat', 'menyenangkan', 'permainan', 'sepanjang', 'masa', 'hidup']","['sangat', 'senang', 'main', 'panjang', 'masa', 'hidup']","['sangat', 'senang', 'main', 'panjang', 'masa', 'hidup']","['sangat', 'senang', 'main', 'panjang', 'masa', 'hidup']",sangat senang main panjang masa hidup,"[('sangat',), ('senang',), ('main',), ('panjang',), ('masa',), ('hidup',)]","[('sangat', 'senang'), ('senang', 'main'), ('main', 'panjang'), ('panjang', 'masa'), ('masa', 'hidup')]","[('sangat', 'senang', 'main'), ('senang', 'main', 'panjang'), ('main', 'panjang', 'masa'), ('panjang', 'masa', 'hidup')]"
