userName,score,at,content
Kevin,5,2025-10-03 02:15:50,sangat membagongkan
Jaka Putraa,5,2025-10-03 02:13:49,jaringannya tolong pada jaringan gw 4 batang terus tapi kok 999 mulu tolong di perbaiki Garena terima kasiii
FAN AJJA,4,2025-10-03 02:06:07,kerennnnnn boyhhhhh wajib main sikk
Dede Setia,3,2025-10-03 02:01:48,"update terus menerus tapi bug gak di ilangin tolong ya min bug damage sama bug nyangkut di tembok nya di benerin, saya cuman mau ngomong itu aja terima kasih untuk garena karena ff saya jadi punya banyak temen onnline 😄😊"
Arya Situmorang,5,2025-10-03 01:53:49,bagus
Fadil Yusuf,5,2025-10-03 01:46:38,seru
SyaatKece,1,2025-10-03 01:41:50,game tolol kakeen dark sistem
D A N I EKA SAPUTRA,5,2025-10-03 01:39:38,tolong perbaiki bug yang ada di free fire 🙏
Akun Fifa,2,2025-10-03 01:29:59,panutan gua udagabisa main ff. yepinya susah
Sulton Maulana,5,2025-10-03 01:21:10,sangat mem buat hati senang 👍👍👍🤩🥰
Rido Imanuel,5,2025-10-03 01:17:48,kerja bagus
Rizki Revaldo,1,2025-10-03 01:16:19,banyak akun yang di ban
ansapril apndi,1,2025-10-03 01:16:12,"Garena pas lagi main di mode Lon wolf, betle royal dan Clasic skuat mainya ngelek-nelek apa lagi matcking br renk dan cs renk lama banget mulainya dan jaringanya ngelek-ngelek kesel banget kalo masi ngelek ku hapus ini Geme KAM|PANG 🤬🟥🏁-_~_~🎃🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬🤬😭😭😭"
Ovax Cevix,5,2025-10-03 01:15:11,seruuu
Sond Draif,5,2025-10-03 01:06:20,gem inilah yang NO1 di dunia sangat bagus coba kalian download dijamin gak nyesel 🥰🥰
Adrian Mutu,5,2025-10-03 01:00:46,menurut saya game ini untuk bosen aja
Along,4,2025-10-03 00:57:05,epep nya sih bgus tpi knp aku bisa onmic ga ad suara ku coba perbaiki dong grena 😭
Bagus 1927,5,2025-10-03 00:27:05,Free fire Keren
Opick Si Chaplin,5,2025-10-03 00:13:33,tapi kalau saya main cs rank tim nya suka yg BOT tapi tim lawan yg jago jago tolong Garena memperbaiki game ini tim nya yng imbang terimakasih
Kevin Fata,5,2025-10-03 00:11:59,"Free Fire sangat bagus karena grafik yang bagus namun ramah di hp kentang, intinya Free Fire selalu dihati"
fajar Mei saputra,5,2025-10-03 00:06:01,seru kalii
Relfaleo aksen Aryudha,1,2025-10-03 00:03:51,ayolah benerin tiap-tiap mau beli spesial aidrop gak bisa terus
ilham maulana,1,2025-10-02 23:54:15,knpa bang budi di blacklist woyy 😡👊
Pandu Albastian,1,2025-10-02 23:40:34,main saya kasih bintang 1 karna panutanku kok di bl akunnya bang budi 01 gaming dia paling penting di ff gua walau pun tidak punya pertemananya
raya rafa,5,2025-10-02 23:33:20,game nya bagus cocok untuk aku yg lagi galau
Altiansyah Teguh,5,2025-10-02 23:10:34,nice
Nabhan,5,2025-10-02 23:01:09,sangat seru dan asik
wayan arya,1,2025-10-02 22:37:22,akun gua kena bl mulu game gak ada otak yang lain pake cit di diemin giliran gua aim hoki mulu kena bl benerin dong sistem ya garena klo akun gua terus ke bl kasi gua dm salam garena gak tau yg pake cit sma gak 🙏
Musa sannip,5,2025-10-02 22:27:19,game ya seru
Rizky Yesyu,5,2025-10-02 22:14:35,Dilak coy
Andre Ardan,5,2025-10-02 21:50:25,permainan yang seru
Lukman Hakim,5,2025-10-02 21:42:31,aplikasi saat bagus untuk para bocil dan seru
Kontol Burut12,1,2025-10-02 21:07:32,karna saya kasih bintang satu karena di game ini banyak masalah gerapik buruk terus banyak cit
Aril Aril,5,2025-10-02 19:51:15,gem terbaik
reendi vendi,5,2025-10-02 18:51:56,sangat bagus
Iky,1,2025-10-02 18:44:16,panutan gw budi kalo emang lu udah benci sama dia gw bakal bikin rating 1 ni game
Acil meikel,5,2025-10-02 18:13:27,"sangat baik, saya menyukainya"
Chen Sendra,5,2025-10-02 18:05:32,bagi akun ya bng udh aku kasi bintang tu
Tri Rohmanto Rohman,5,2025-10-02 18:03:25,asik
Eilish bert elyees Eilish,5,2025-10-02 17:58:15,bagus
Agung Triyadi,1,2025-10-02 17:48:05,oi akun gua itu benerin bodo nuggu muluu gem tolo lammaaaa
Bot Grow,1,2025-10-02 16:31:51,💔💔💔💔
Gayau Sjaji,5,2025-10-02 16:25:19,bagus
Mismo Surya prasaja,5,2025-10-02 16:22:14,Makasih sudah menemani masa kecil ku sekarang aku sudah lebih dewasa aku akan lebih fokus ke cita cita ku 👋👋
endi sopandi,5,2025-10-02 16:14:27,nyaman
Penok Ajja,5,2025-10-02 16:06:14,suka SE x....
Aris Werimon,5,2025-10-02 16:05:13,mantap
mr hanns,5,2025-10-02 15:56:55,gw jadi makin gg ni comback epep
KAMUNANYA Wkwk,1,2025-10-02 15:41:44,menurutku gem ini bagus tapi minusnya gak di kasih hoki dan banyak DARK sistem di cs.di BR
Radiansa40 Radiansa40,5,2025-10-02 15:36:10,SERUUU
Dionisius Silalahi,1,2025-10-02 15:34:33,gua udah pensi gua udah dari 2019 main ini gem dan hari pertama gua kambek main ff di situ Garena kecewain aku. akun ff gua di bl sama Garena Sam kayak yg di alami bg Budi . cuman satu yg gua mau bilang kalau bukan karena bang Budi 01 gem ini inggak banyak yg minat main kan 😔
Rido,5,2025-10-02 15:23:02,bagusss
Oryu Buulolo,5,2025-10-02 15:17:34,keren
Saprijal aja Aja,5,2025-10-02 15:14:31,sa sangat bagus
stokkk Evooo256,1,2025-10-02 15:11:43,"bug damage gak ngotak, bikin males main🥱"
Bang Dugut,1,2025-10-02 15:10:29,game nya jelek
Al Pais,5,2025-10-02 15:01:10,Oke
angel Silahi,5,2025-10-02 15:01:10,NICE
YUDA 1,1,2025-10-02 14:57:47,teman bot semua
Rian Ilyasa,5,2025-10-02 14:52:12,salam tetap gak ada pintu SALAM BURIKKKK
Dimas,5,2025-10-02 14:51:10,manatapp garena bagi akun dong
Frengki Cipeng,1,2025-10-02 14:49:20,game payah
Aifen lowen,1,2025-10-02 14:45:17,"benerin game lu nih, makin hari makin menjadi-jadi yang gak pake chit di ban yang pake Chet gak di ban game apa ini kek gak ada yang urus lu baca lu liat apa keluhan kami sebagai proplyer atau yang main game yang lu buat kalo gini terus mending hapus aja game ini dari play store."
IRIANA Ana,5,2025-10-02 14:42:14,gem seru kualitas bagus
Kartika kim,1,2025-10-02 14:34:17,"𝒑𝒂𝒓𝒂𝒉 𝒖𝒅𝒉 𝒔𝒆𝒎𝒊𝒏𝒈𝒈𝒖𝒂𝒏 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒌𝒖𝒏𝒊𝒏𝒈 𝒎𝒖𝒍𝒖 𝟑𝟎𝟎+ 𝒎𝒖𝒍𝒖.. 𝒃𝒊𝒌𝒊𝒏 𝒆𝒎𝒐𝒔𝒊 𝒎𝒂𝒊𝒏 𝒏𝒚𝒂.. 𝒑𝒂𝒅𝒂𝒉𝒂𝒍 𝒑𝒂𝒌𝒂𝒊 𝒘𝒊𝒇𝒊, 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒋𝒈 𝒃𝒂𝒊𝒌, 𝒊𝒏𝒊 𝒚𝒈 𝒔𝒂𝒍𝒂𝒉 𝒅𝒊𝒎𝒏𝒂 𝒚𝒂𝒂.. 𝒔𝒂𝒎𝒑𝒆 𝒂𝒒 𝒉𝒂𝒑𝒖𝒔𝟐𝒊𝒏, 𝒓𝒆𝒔𝒕𝒂𝒓𝒕 𝒃𝒆𝒓𝒌𝒂𝒍𝒊𝟐 𝒕𝒆𝒕𝒆𝒑 𝒃𝒊𝒌𝒊𝒏 𝒌𝒆𝒔𝒆𝒍 𝒌𝒂𝒓𝒆𝒏𝒂 𝒋𝒂𝒓𝒊𝒏𝒈𝒂𝒏 𝒕𝒊𝒃𝒂𝟐 𝒏𝒂𝒊𝒌 ... 𝒕𝒐𝒍𝒐𝒏𝒈 𝒍𝒂𝒉"
Mas Cungkring,5,2025-10-02 14:34:04,"sangat bagus, tapi sayang banyak yang ngechit"
Rafka Putra,1,2025-10-02 14:22:14,kocak orang gak salah apa² di bl game rusak
Rafi Celyn,1,2025-10-02 14:10:02,Jelek
Herda Gamer,5,2025-10-02 14:09:45,"sebaik""nya lebih baik ketika kita mendapatkan sebuah hadiah dri seseorang pembuat gamenya sendiri"
Prince azzami Pramesta,5,2025-10-02 14:07:38,"oy min, sg trouble nya kapan keluar yang permanen?"
ÊVÎŁツSH ÐØW Z,1,2025-10-02 14:07:22,"sumpah gm ya bagus banget playernya juga baik"" Peh aku kasih reting 5-4 sangking bagus nya"
Atjwar mbejux,1,2025-10-02 14:06:10,awal sisen pasti ngelagggg cs atau br sama aja gimana ini Garena udah pakai data tetap ngelaggg pakai wifi sama aja gimana ini Garena woiiii tolongg apa aku terlalu jago ya Garena tahik lak 😭😭😭
Haidar,5,2025-10-02 14:05:52,siapa yg buat kasih diamond
Fatihr Ardiansha putera,1,2025-10-02 13:58:07,permainan buruk
M david M david sepriansyah,5,2025-10-02 13:49:43,firefire adalh gem yg seru dan paling baguss ayo garena terus semangat untuk mengabdet setiap seson firefire!!
Zhakariya78 Z-78,5,2025-10-02 13:40:39,FF emang keren banget bisa dapat kan bandel gratis
Adib Kajen,1,2025-10-02 13:39:47,gelarena kenapa bayak cit
Faizal Septriansyah,1,2025-10-02 13:38:28,tolong kembalikan jaman 2019😟
Rapi Amasah,5,2025-10-02 13:35:19,game bagus
Andre Yesaya,3,2025-10-02 13:33:09,game seru tapi gak kasih D
Nizam,1,2025-10-02 13:30:51,"sinyal nya tolong diperbaiki, karena dibuat scroll atau lainnya lancar tapi pas main jadi jelek"
Alim Agus,5,2025-10-02 13:30:30,karena game ini asik
Roni Syahputra,4,2025-10-02 13:30:10,saya sangat suka
Fitri Saja,5,2025-10-02 13:30:00,ff sekarang bagusss💯
Ivander Raka,5,2025-10-02 13:28:46,seru banget rasanya seneng
Rendy Rendy,5,2025-10-02 13:26:46,Ahmad fajar ff
idris Ahmad,1,2025-10-02 13:19:41,jangan donglot plis akun gw hilang 2× plis game peng hilang akun
Rezi Bos king,5,2025-10-02 13:19:29,keren
Pili Petak,5,2025-10-02 13:18:23,SANGAT KEREN
irfan nugraha,2,2025-10-02 13:07:27,garena mohon game ini di perbaiki di tidak bisa login ada bacaan server config 3
Tegar Herdiansyah,1,2025-10-02 13:06:44,game sangat bagus
Muhamad Hafizh,5,2025-10-02 13:06:13,seru
Chuu,1,2025-10-02 12:59:42,jaringan tidak stabil padahal sinyal bagus
Dewi Puspitasari,1,2025-10-02 12:59:30,"game burik monyet, gw gak mic gak ngomong kasar, gk ngetik toxic juga knp tb² di mute babi apa² di mute sekalian aja fitur mic hapus asu"
Budi Okee,5,2025-10-02 12:58:45,banyak bak demege
ANINDIA FAUZIAH,4,2025-10-02 12:52:36,bagus
Nazwa Wawa,1,2025-10-02 12:51:51,akun aku gabisa dibalikin padahal akun Facebook🙁
Rizal 0999,5,2025-10-02 12:50:33,bapaku garena
Ranto Saputra,5,2025-10-02 12:49:50,"gamenya burik,kikir full png,banyak drama"
Neza Pratama,4,2025-10-02 12:48:45,FRI.FIREE
Adam Adam,5,2025-10-02 12:45:16,bagus bngttt
rehan faturrahman,1,2025-10-02 12:42:11,kenapa bang budi di blaklits dia juga butuh 💸
Rufaidah,5,2025-10-02 12:41:29,sangat sukaa sklii sm game in seru dan gak bikin aku gabut lgii pokoknya bintang lima dehh
alfarezrl rmdn,1,2025-10-02 12:40:45,ni game banyak bocil nairi cik 😹
dana dana,3,2025-10-02 12:39:11,turunkah harga toko prime ga ngontak
Xhaka Omer,1,2025-10-02 12:33:33,Garena parbaiki game kamu karena aku pas main tiba tiba keluar sendiri
oki jerom,5,2025-10-02 12:32:00,sangat seru!
habib Zain,2,2025-10-02 12:30:35,kakaean bug
Rahma wati,5,2025-10-02 12:28:18,"aku ketika main ff, beh aim gw gacorr dan ff nggak burik lagi, aku udah lama juga main ff, mulai dari 2019"
Komang Aldi,5,2025-10-02 12:26:22,ff selalu dihati siapa yang.nglihat in juga suka ff salam nama saya wayan Adi Saputra dari hti di wilayah Lampung
Theys Pattiasina,4,2025-10-02 12:25:06,karna garvik bagus
El Hazmi,1,2025-10-02 12:23:05,al
Risto Boimau,5,2025-10-02 12:19:41,saya suka mai Free fire max
Jamal arya,5,2025-10-02 12:18:38,game ini sangat bagus untuk di main kan seru sekali
Fa Dhil,5,2025-10-02 12:12:28,mantap
Olivia Zm,5,2025-10-02 12:11:31,👍👍👍👍👍👍👍
Putra Ragil,5,2025-10-02 12:09:35,Game yang seru 👍👍👍
Boo kirr,5,2025-10-02 12:08:46,mantap
Nabil Modz,5,2025-10-02 12:06:29,"game udah bagus cuman kekurangannya satu , banyak cheat dan ada beberapa bagian player yang menggunakan cheat cuman gak di banned sama sekali"
Eca Galaxy,5,2025-10-02 12:04:25,"bagus banget tau tapi aku pengen hoki melulu 😥😥😥😔😔🙏🙏😭😭plies Garena kece keren banget 👋🥺😚😚😚🍰🍰🍰🍰🥰🥰🥰 aku,ingin diamonds, nama usryme me elsa,,Naura"
Irfan Sugiarto,1,2025-10-02 12:03:55,kembalikan akun ku yang ke banned
Rabilian Iskandar,4,2025-10-02 12:03:11,matchmaking nya lama banget
Teggar,1,2025-10-02 11:59:35,game kikir pake nge bl bg budi lgi rusak²
Didik kandangan Rostanto,5,2025-10-02 11:58:16,seru dan menyenangkan
Riyo Adi,1,2025-10-02 11:54:05,niat hati mau balik game lagi malah ga bisa login diulang tetap sama
Riko,5,2025-10-02 11:51:17,Game ini akan indah jika akunku kembali
Sahari Herri,4,2025-10-02 11:51:17,min ko free fire jadi ginih GK onmic dan GK bisa di perbaiki knp min tolong dong min GK bisa bisa 🙏🙏
Firdan Aditya,5,2025-10-02 11:44:00,suka ngelek ngelek ama patah patah kadang suka banting hv sanking kesel nya kalo bisa mah turunin mb nya lah
LOIS APRILI MUSKANANFOLA,5,2025-10-02 11:42:36,aku suka game ini
Ikbal Kc,5,2025-10-02 11:35:23,kirim DM sekilas nya
shofi frogner,1,2025-10-02 11:27:46,epep game burik ngntd
CERIA AGNIA SHALIHAH,5,2025-10-02 11:27:30,DOWNLOAD SEKARANG JUGAAAA!!!!!!!!!!
Afriansa putera,1,2025-10-02 11:25:35,game tak tau trima kasi hilang suda panutan ku
Hendri Kates,5,2025-10-02 11:18:09,gem ini sangat bagus
vanaaa??,5,2025-10-02 11:15:26,"MASYAALLAH Tabarakallah gamenya kadang timnya draksistem, kroco, kadang ngelag😤 tapi Alhamdulillah saya main baik baik ajaa😻"
Nai Enay,4,2025-10-02 11:07:20,"ini game nya bagus tapi, sinyal nya sering putus² padahal disini koneksi internet nya bagus."
Reni Reni,5,2025-10-02 11:04:03,bagus banget
Arka,5,2025-10-02 11:01:04,game nya enak banget dan animasinya bagus
Gween Syareefa,3,2025-10-02 10:59:41,bagu sih tapi kurangin ngebug nya aj itu aja si
Lusiana Maryanti,5,2025-10-02 10:58:07,kenapa banyak bak di gem ini
hergethemi betaubun,4,2025-10-02 10:55:26,"min Garena perbaikin ff dong, kok gw main cs ketemu cheter mulu"
Rozak Fatah,1,2025-10-02 10:53:42,kembalikan diamond ungu😡😡
Nadia syg Nadia syg,5,2025-10-02 10:53:33,game ini sangat penting untuk saya buat Garena makasih udah buat game ini semoga sehat selalu ya garena amiiinnn
Agus Komang,1,2025-10-02 10:50:23,kembalikan akun bang Budi
Haikal,1,2025-10-02 10:41:17,tu BG Budi 01 gaming gak bisa main lagi apalah garena
Nabila Golden,5,2025-10-02 10:39:38,game ini menarik perhatian para semua pencinta game dan yap min jangan lupa perbaiki lagi ya min kadang agk ngeleg atau ada bug terimakasih sudah membaca
Maulana Yusuf,5,2025-10-02 10:37:30,gem ini sangat cocok untuk saya
Raden Alwi,1,2025-10-02 10:33:44,manarik
Alfis nurhabibi,5,2025-10-02 10:32:47,guwe pernah ff max e malahan ff biasa
Indonesia Raya,5,2025-10-02 10:32:47,Kamu bisa jadi Imlek dari hasil penelitian menunjukkan bahwa aku beli 1sx
Gsdhdhfhfjcjfj,5,2025-10-02 10:28:55,sangat bagus sekaliii
Arga Situmeang,5,2025-10-02 10:24:17,GARENA SAYA MAU SESUATU YAITU BANDEL YANG BAGUS GARENA SECARA GRATIS HGARENA PLIS
Rangga Habsi,5,2025-10-02 10:21:36,baguss dan seru ayo segera donlot sekaranggg
Mania Marfel,1,2025-10-02 10:21:22,Game Kikir Garena pelit
Dontol Bule,5,2025-10-02 10:18:39,sangat seruh
El Dirgam el rafif,5,2025-10-02 10:17:29,kasikan diamaon10000
Sela Aulia,5,2025-10-02 10:13:58,bagus
Galuh TOR,1,2025-10-02 10:07:06,burik gak ada pintu
Muhsinin 1,5,2025-10-02 09:56:07,game nya seru
Salwa Nursaras,5,2025-10-02 09:56:06,"sumpah ga bohong game nya bagus banget ,,tapi kadang pas lagi war game nya nge lag suka bikin kesel juga anjir apalagi pas turun beh sakit hati bet ini mah capek² naikin rank ehh malah turun tapi gapapa ko walaupun gitu aku tetep suka sama ff elevyu ff👍🏻🗿🤸🏻‍♀"
Zohdi Akbar,5,2025-10-02 09:41:05,game ini bagus banget tapi ada bug nya tolong dong admin perbaiki lagi kalo udah di perbaiki kabarin ya
Nama Mana,5,2025-10-02 09:36:14,Karena game nya sangat seru
Laurdent tamba,5,2025-10-02 09:31:25,sangat keren
Samsung Samsung04e,3,2025-10-02 09:23:53,karna bg buda tidak bisa main lagi garena babi
Hezel Valensia,1,2025-10-02 09:15:31,min bang budi sampe pensi loh min kok gitu mimin nya
AryaDF A6,1,2025-10-02 09:11:20,game aneh banyak bug sama ga bisa pakai skil
Pebri Ardianto,1,2025-10-02 09:08:56,aku bener bener kecewa sama Mimin salah satu panutanku dari dulu sampe sekarang di buat pensi sama Mimin kecewa banget gua sama Mimin mending aku pensi aja daripada kehilangan panutan ku
Ragna Ivander Darielle,5,2025-10-02 09:05:54,bagus sekali
Makbar Fadilla,5,2025-10-02 09:05:02,"lumayan, tapi tolong lah garena bantuin akun aku hoki, dan aku dapat temen kayak drag sistem tolong adill plesss"
Khairil Anwar,1,2025-10-02 09:03:51,ini kenapa min tiba tiba data ff saya ke hapus harus download ulang aku gak mau tau pokoknya kasih aku 10.000 DM min
darmi cibro82,2,2025-10-02 08:57:03,"min kok akun saya tiba-tiba saja tidak bisa masuk dan ada tulisan""gagal mendapatkan config versi : 3""itu bukan emoji ya min Memeng seperti itu yang muncul mohon perbaiki atau bantu aku saya min😭😭"
Radit,5,2025-10-02 08:53:23,enak cuy
Son Aji,5,2025-10-02 08:52:33,karena. ffmax seru
Apip Pudin,5,2025-10-02 08:52:16,game nya sangat seru
Ofurube Jahat,5,2025-10-02 08:51:12,kurangi bug dong
alif andra,5,2025-10-02 08:48:59,akun baru
Rizky GD,1,2025-10-02 08:44:57,napa si ngelag padahal sinyal kenceng banget kuota juga masih banyak anehhhh
Zum Khasanah,5,2025-10-02 08:42:42,min kuluarin rambut kakasih putih
Oppo Oppo F1s,5,2025-10-02 08:32:26,Enak di mainkan
Agam Agam,5,2025-10-02 08:30:22,sangat bagus dan seru tapi ada bug yang harus di perbaiki yaitu bug damage
Kenco Yaco,1,2025-10-02 08:28:35,dah bintang 1
Emmy Nurul HIDAYAH,5,2025-10-02 08:24:01,bisa bermain tembak tembakan
prasisma,5,2025-10-02 08:23:09,sangat bagus
Aldo Firdauzy,1,2025-10-02 08:21:20,lawak
Diphda Ayyasy,5,2025-10-02 08:14:34,bagus
M holik Alpaujan,5,2025-10-02 08:13:45,ff dihati
Melisa Djurian,5,2025-10-02 08:06:18,enak di main bisa mabar juga
Riyan Nyagilang,5,2025-10-02 08:01:35,iya
Mochamad Azriel,5,2025-10-02 07:56:40,Gamenya bagus harga-harganya juga pada murah gak kaya mobile legend pada mahal mending fre fire gak bikin stres mobile legend mah kalah truss🥰🥰🥰
Reza Alfa,5,2025-10-02 07:51:48,game bagus
Iros Iros,5,2025-10-02 07:50:39,Seru
Gon Opet,4,2025-10-02 07:50:27,ini harus nya di adakan mode offline kaya ml bisa nyoba skin apa aja sama bisa main walaupun computer supaya bisa ngalahin ml tolong garena atau develover nya baca plissss🙏🙏
Steven Dooff,2,2025-10-02 07:46:14,"setelah saya kembali memainkan game ini lagi saya merasa kecewa karna banyak bug yg merugikan player,banyak chiter yang gak di ban,jaringan yang harusnya bagus malah buruk,sistem cs rank yg tidak adil,karena musuh mendapatkan tim yg lebih pro/skilnya baik"
Rizky Apriansyah,5,2025-10-02 07:43:31,semoga hoki saat gacha di free fire
vera,5,2025-10-02 07:34:57,bgi dm gerena
De Ni,5,2025-10-02 07:31:06,sekali lagi bagi diamond 100
Igbal,1,2025-10-02 07:22:41,tolong bagus kan game ini bg budi 01 gaming knapa tidak bisa main rank memang game free fire burikkkkkkkkkk hapus aja tu game burikk iri ya garena liat bg budi main blodstrik
Theo putra,5,2025-10-02 07:16:48,berikan saya akun ff bagus kali plis
Rafa Bayu,5,2025-10-02 07:14:21,game sudah bagus kerenn bgt (colab lagi dong min) 🗿🗿
Dafa Ibnu,5,2025-10-02 07:10:08,bagus ni
Epandimas Epanhrp,4,2025-10-02 07:10:03,👍
Muhamad nasrullah Anas,5,2025-10-02 07:09:24,"“Game-nya seru banget, grafiknya ringan tapi keren, cocok buat HP dengan spek apa pun.” “Mode permainan bervariasi, nggak cepat bosan.” “Event dan hadiah selalu menarik, bikin semangat main terus.” “Kontrol mudah dipahami, cocok buat pemula maupun pro.” “Komunitas besar, gampang cari teman mabar.” Kekurangannya Bermuda remastered gak ada di RANKED"
Alfaro Fathir,5,2025-10-02 07:04:43,game seru gw udah sultan main dari 2020
zexy zex,1,2025-10-02 07:02:46,"dua tiga tutup botol ini game macam pentol ahahaha, game banyak bug paling bikin emosi bug damege tolong perbaiki atau kasih saya diamond 🗿"
Adit Ainur,4,2025-10-02 06:42:05,bagus
Zazid Bustomi,1,2025-10-02 06:41:59,ini game bagus tapi saya udah pakai tampilan semut tapi masih ngeleg padahal udah punya paketan 4GB tolong perbaiki min
infinixhot50i,5,2025-10-02 06:41:05,seru banget
Isbandi Kaidah,4,2025-10-02 06:39:04,aku cinta free firee
Rahma Rahma,5,2025-10-02 06:38:49,woi
PRAHWONO BS,5,2025-10-02 06:34:04,seruu bisaa ngilanginn sterss
Fatir arya wiguna,5,2025-10-02 06:33:47,gem ini sangat seru
Redmi,5,2025-10-02 06:33:37,indonesia
Muh Yasin,5,2025-10-02 06:31:56,sangat bagus 🫶🫶
MUHAMMAD REHAN rehan,1,2025-10-02 06:31:04,macthing nya lama banget g mulai mulai
Kalirejo New,1,2025-10-02 06:29:25,karena saya main cs dikasih tim drakor sistem mohon untuk di perbaiki karena bintang saya turun terus.
Baba Niss,1,2025-10-02 06:24:09,ff asu babi anzing game burik
Ahmad Suparman,5,2025-10-02 06:23:53,keren makin banyak di gratisin makin banyak player nya plis shotgun permanen gratis plis garena
Martin Martin,5,2025-10-02 06:21:47,ff enak dimain kan
Bagas pujon gacor TRI SETIAWAN,4,2025-10-02 06:17:06,gamenya seru sihh tapi jangan yg susah buat main gamenya
Krisna,1,2025-10-02 06:16:39,burik
Joe Rafa,1,2025-10-02 06:14:33,jelek
Jl Jf,5,2025-10-02 06:11:24,permainan nya bagus
David Saputra,5,2025-10-02 06:10:29,gamenya bagus banget aku suka betul
FADLI Oktasatrio,1,2025-10-02 06:07:12,"game mementingkan duit dari pada player, dikit² diamond 😮‍💨"
Linda,5,2025-10-02 06:06:27,game play 😎😎👍
Aldi Nos,5,2025-10-02 06:05:42,gua udanh kombek.ff lagih game nya bagus makin kesini ff makin bagus tapi ke inget ff jaman dulu jaman namanya tahun 2018 tengkyu
Guyaxxx Man,3,2025-10-02 06:05:30,akun gw ilang knp
Febriana Dewi,5,2025-10-02 06:05:23,geme nya baik dan lebih jago main
Sidi Arta,5,2025-10-02 06:00:21,made
Ahmad Yuda,5,2025-10-02 05:59:49,aku senang sekalian karna dapat bermain dengan nyaman
Rima Farma,5,2025-10-02 05:56:13,"game ini sangat bagus, tapi aku suka lag padahal sinyal aku tidak lag"
Phone Lmg,5,2025-10-02 05:54:39,gak ngelek blas sumpah
Didin Muhidin,3,2025-10-02 05:52:56,aga ngelag dikit
Bintang Tang,4,2025-10-02 05:50:32,aku main dari 2020 sampai sekarang masih belum ada evo gun vektor aku nunggu itu dari lamaaa baget berharap bakal ada karna itu senjata favorit ku. jadi tolong buatkan Evo gun vektor kalau sudah rilis bakal top up sampai dpt.!
Yanto Toto,1,2025-10-02 05:45:01,parahh orang yang buat game ini rame malah di blacklist!!!!
Habib Bulloh,5,2025-10-02 05:38:54,seru bagus dan ga bosenin
Karimuddin Ibrahim,1,2025-10-02 05:38:18,nggak bagus lagi
Ahmad Faqih,5,2025-10-02 05:29:46,game ini adalah game kesukaan ku
Muhammad Fauzi,5,2025-10-02 05:27:18,game ini seru banget aku pengen bgt diamond gak pernah top up
rizki,5,2025-10-02 05:26:42,aku suka ff apa lagi ff colab sama ultaman
Ali Kapuas,5,2025-10-02 05:12:23,game nya bagus
Marsil,5,2025-10-02 05:11:24,Garena baik😖😖
Adi Setiawan,5,2025-10-02 04:58:54,bagus dan kece dan menghilangin sedih 😁😁😁😁😁😁😁🧡🧡🧡🧡🧡🧡🧡🧡😁😁😁😁😁🧡😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁😁 ................. .....................................................................
Gungde Gunawan,5,2025-10-02 04:51:58,seru
Bayu Abdillah,3,2025-10-02 04:51:38,Rodok gatel Soale jaringan ku gak ngeleg tambah ngeleg gatel untung wes tak hapus game free fire max dan free Fire biasa alhamdulliah gak ngeleg
Dani Febiyan,5,2025-10-02 04:46:22,hoki
Adbul Aziz Adbul Aziz,5,2025-10-02 04:45:39,Free Fire Max UPDATE 1 tahun baru 2026 BOCORAN BUNDA EVO WINTERLAND LEGENDARY BUNDLE NEW
Moza Aqmal Ramadhan,5,2025-10-02 04:43:15,game sangat bagusss
Nazurah Rakan,5,2025-10-02 04:41:24,bagus
Mola Zone,5,2025-10-02 04:31:50,bagi saya diamond
AIR_ PROJECT,5,2025-10-02 04:29:24,samgat seru walau aku masih noob
Dapur TriVa,5,2025-10-02 04:28:34,aku suka kali game nya
Jordy Juan,5,2025-10-02 04:24:36,ff buagus bangettttttt pake bangget gacor btw diamond gratis min hehehehe
Dzakwan Khalill,5,2025-10-02 04:24:11,sangat bagus gamenya
Adit Gcr,1,2025-10-02 04:16:04,kok bang budi di Blaskist Garena
dirly gustian rhamadoni,1,2025-10-02 04:15:33,bang budi gak bisa main aku pun gak main knp bang budi gak bisa main gitu lohhh
ummu salma,3,2025-10-02 04:04:36,gem nya bagus tapi kalau udah Pepeng malah gak mati tolong Garena di perbaiki
Nazwa sandi Mahrani,5,2025-10-02 04:02:23,dari kmren pengen downlod bagus bet game nya
Fajar Rukmana,5,2025-10-02 04:01:05,baik
Patra Wakulu,5,2025-10-02 03:55:14,sangat baik
Farrel Arifin,2,2025-10-02 03:53:18,ga bisa di loginin maleh ah
Yustice Deki,5,2025-10-02 03:30:04,Aku sangat menyukai gem ini dan tapi aku tidak pede karena peremku 1
Rafiy Aja,5,2025-10-02 03:28:04,gem ini sangat seru
Alka Bara,5,2025-10-02 03:26:51,game nya bagus
Hapis Alimah,5,2025-10-02 03:15:15,game sangat seru
Zik,1,2025-10-02 03:11:18,tiba tiba ke bl padahal GK pernah ngrcit
